given_names,family_name,orcid,country,taxa
Christina,Bienhold,0000-0003-2269-9468,Germany,"Amphinomida, Amphinomidae, Annelida, Glyceridae, Polychaeta"
John,Biggs,0000-0002-1881-2598,,""
David,Bilton,0000-0003-1136-0848,,"Adephaga, Africa (coleoptera, Agabus brunneus, Agabus uliginosus, Anacaena, Aspidytidae, Aves, Bidessini, Canthyporus exilis, Capelatus prykei, Coleoptera, Copelatinae, Corixidae, Crenitis bicolor, Crustacea, Deronectes, Dorvilleidae, Dytiscidae, Elmidae, Enallagma damselflies, G. plicatulus, Gordionus wolterstorffii, Gordius aquaticus, Hemiptera, Hydraena, Hydraena lotti, Hydraenidae, Hydrobiomorpha, Hydrophilidae, Hydroporinae, Hydroporus glabriusculus, Hydroporus memnonius, Hydrotarsus, Isopoda, Laccobius leopardus, Leielmis, Limnephilidae, Linnaeus, Meladema, Mesoceration, Mesophylax aspersus, Nematomorpha, Noteridae, Oceanodroma leucorhoa, Oniscidea, Oniscus, Oniscus asellus, Ophryotrocha labronica, Paragordius tricuspidatus, Parhydraenini, Passeriformes, Plantago lanceolata, Predaceous, Procellariidae, Prosthetops wolfbergensis, Pterosthetops, Sebasthetops omaliniformis, Sigara lateralis, Sigara selecta, Stenopelmus rufinasus, Stictonectes rebeccae, Sylvia curruca, Terschellingia spp, Trichocorixa verticalis verticalis, Trichoptera"
Sandra Haas,Binford,0000-0002-0594-5826,United States of America,""
Rasa,Binkienė,0000-0003-3259-9444,Lithuania,"Anodonta anatina, Bucephalidae, Cestoda, Crocidura, Cyclophyllidea, Digenea, Dilepididae, Esox lucius, Hymenolepididae, Mathevolepis alpina, Neomys, Neoskrjabinolepis, Rhipidocotyle fennica, Sorex, Soricinia, Soricinia tripartita"
Maurizio,Biondi,0000-0003-2190-7376,,"Alticinae, Alticini, Arrhenocoela, Chabria, Chaetocnema, Chaetocnema gahani, Chaetocnema longicornis, Chrysomelidae, Coleoptera, Collartaltica, Derocrepis sodalis, Drakensbergianella rudebecki, Gabonia, Galerucinae, Jacobyana, Longitarsus capensis, Neodera, Pepila, Pepila fuscomaculata, Salamandra salamandra gigliolii, Stegnaspea"
Leonardo,Biral,0000-0003-2493-8514,Brazil,""
Graham,Bird,0000-0002-7518-9149,New Zealand,""
Matthew,Bird,0000-0001-9163-1008,South Africa,"Anostraca, Branchiopoda, Coleoptera, Crustacea, Laevicaudata, Notostraca, Oncorhynchus mykiss, Predaceous, Pseudobarbus burchelli, Spinicaudata"
Felipe,Bisaggio Pereira,0000-0002-7921-5965,Brazil,""
Manuel,Biscoito,0000-0002-9347-0823,Portugal,"Actinopterygii, Affinis, Anguilliformes, Aphanopus carbo, Aves, Bathysquilla microps, Bathysquillidae, Brachyura, Bulweria bulwerii, Bythitidae, Calonectris diomedea borealis, Caridea, Cataetyx laticeps, Centrophryne spinulosa, Centrophrynidae, Chaceon, Chaceon affinis, Chimaeridae, Chimaeriformes, Conger conger, Coryphaenoides thelestomus, Crustacea, Deania hystricosa, Decapoda, Ensifer, Gaidropsarus guttatus, Geryonidae, Gnathophis codoniphorus, Heterocarpus, Holocephali, Lophiiformes, Mauligobius, Pachycara, Palaemon serratus, Palaemonidae, Pandalidae, Paraconger macrops, Paraliparis nigellus, Procellariidae, Protogrammus sousai, Pterodroma feae, Pterodroma madeira, Stomatopoda, Synaphobranchidae, Teleostei, Trichiuridae, Uncisudis quadrimaculata, Zoarcidae"
Michelangelo,Bisconti,0000-0002-0281-4863,,"Balaena belgica, Eubalaena glacialis"
Jordan,Biserkov,0000-0002-1180-2725,Bulgaria,""
André,Bispo,0000-0003-4025-6839,,""
Gabriela,Bittencourt-Silva,0000-0002-7391-8408,,"Amietophrynus lemairii, Amphibia, Anura, Bufonidae, Hyperoliidae, Hyperolius substriatus, Mertensophryne anotis, Nothophryne, Perkinsea protists"
Pierre-Paul,Bitton,0000-0001-5984-2331,Germany,"Aves, Emberizidae, Melozone biarcuata, Tachycineta bicolor, Tripterygion delaisi"
Volker,Bittrich,0000-0003-0156-5559,Brazil,""
Katarzyna,Blachowiak-Samolyk,0000-0001-8076-2168,,"Alacia belgicae, Alle alle, Calanus, Chaetognatha, Copepoda, Crustacea, Discoconchoecia elegans, Halocyprida, Halocyprididae, Metaconchoecia isocheira, Myodocopa, Obtusoecia, Ostracoda"
Karen,Black,0000-0003-0645-5172,Australia,"Balbaroo, Barinya kutjamarpensis, Bematherium, Dasyuromorphia, Diprotodontoidea, Euowenia grata, Litokoala, Marsupialia, Neohelos, Ngapakaldia, Nimbadon, Nimbadon lavarackorum, Nimiokoala, Notoryctemorphia, Peramelidae, Phascolarctidae, Propalorchestes novaculacephalus, Pseudocheiridae, Silvabestius, Thylacomyidae, Wakaleo, Zygomaturinae"
David,Blackburn,0000-0002-1810-9886,United States of America,"A. variabilis, Amnirana, Amphibia, Anura, Arthroleptidae, Arthroleptis, Arthroleptis adolfifriederici, Barbourula, Batrachochytrium dendrobatidis, Bombinatoridae, Brachycephalidae, Brachycephalus, Brachycephalus pernix, Cardioglossa, Cardioglossa cyaneospila, Cardioglossa liberiensis, Catarina, Chelicerata, Chimaira, Gastrophryne carolinensis, Gastrotheca, Hemiphractidae, Hyperoliidae, Hyperolius, Hyperolius cinnamomeoventris, Kaloula, L. perreti, Leptodactylodon axillaris, Limulus polyphemus, Limulus polyphemus linnaeus, Mambilla, Manengouba, Microhylidae, Phrynobatrachidae, Phrynobatrachus, Phrynobatrachus fraterculus, Pipidae, Plethodon cinereus, Ptychadenidae, Pyxicephalidae, Ranidae, Sanguirana, Schoutedenella xenodactyloides, Tomopterna damarensis, Xenopus, Xenopus longipes, Xenopus paratropicalis, Xiphosura"
Mark,Blacket,0000-0001-7864-5712,Australia,"Adeliini, Adelium calosomoides, Agromyzidae, Apasis puncticeps, Aspleniifolia, Bactrocera tryoni, Carex, Catomerus polymerus, Cleradini, Culicidae, Diptera, Drosophila, Drosophila melanogaster, Gazella gazella, Gazella subgutturosa, Geocoridae, Geocorinae, Germalus, Grevillea, Hemiptera, Heteroptera, Hookeriana, Lagriinae, Lamprolonchaea, Lamprolonchaea brouniana, Liriomyza sativae, Litoria raniformis, Lonchaeidae, Murina, Panesthia australis, Planigale, Planigales, Proteaceae, Rhyparochromidae, Sminthopsinae, Sminthopsini, Sminthopsis, Tenebrionidae, Warramaba"
Vladimir,Blagoderov,0000-0001-8684-8421,,"Acari, Anisopodomorpha, Archizelmiridae, Axymyiomorpha, Baissa, Bibionomorpha, Burmazelmira, Cecidomyiidae, Cramptonomyiidae, Diptera, Elliidae, Erythraeidae, Gnoristini, Insecta, Keroplatidae, Leiini, Leptus, Lygistorrhinidae, Mesosciophilidae, Mycetophilidae, Oligoneura, Palaeognoriste, Paraxymyiidae, Protopleciidae, Sciaridae, Sciaroidea, Sciophilini, Thoracotropis cypriformis"
Martin,Blaha,0000-0003-3597-6604,,"(Astaconephrops) gherardii, (Cherax) subterigneus, A. einslei, Acanthocyclops trajani, Acanthocyclops vernalis-robustus, Astacus astacus, Cherax (Astaconephrops) gherardii, Cherax (Cherax) subterigneus, Cherax destructor, Cherax quadricarinatus, Copepoda, Cyclopoida, Cyprinus carpio, Decapoda, Linnaeus, Melanostomus, Misgurnus fossilis, Neogobius, Parastacidae, Perca fluviatilis, Sander lucioperca"
Jaime,Blair,0000-0002-4211-2938,United States of America,""
Stephanie,Blais,0000-0002-5381-277X,Canada,"Euryacanthus rugosus, Tricuspicanthus gannitus"
Robert,Blakemore,0000-0001-9797-8328,,"Acanthodrilidae, Almidae, Annelida, Clitellata, Drawida hattamimizu, Drilonematoidea, Eisenia, Eophila crodabepis, Eophila tellinii, Eudrilidae, Eudrilus eugeniae, Exxidae, Glossoscolecidae, Lumbricidae, Megascolecidae, Metaphire, Moniligastridae, Ocnerodrilidae, Octochaetidae, Oligochaeta, Pheretima darnleiensis, Plesioungella kathleenae, Pontodrilus litoralis, Retrovescus, Tasmania"
Alejandro,Blanco,0000-0003-2527-932X,Spain,"Allodaposuchus, Allodaposuchus palustris, Chondrichthyes, Crocodylia, Fumanya, Osteichthyes"
Saul,Blanco,0000-0002-9015-2512,,"A. catenatum, Achnanthidiaceae, Achnanthidium, Achnanthidium minutissimum, Achnanthidium sinense, Achnanthidium subatomoides, Ascomycota, Bacillariophyceae, Bacillariophyta, Chlorella vulgaris, Cymbopleura margalefii, Detonia, Diatoma, Didymosphenia geminata, Eolimna, Epiphyton, Eunotia emmae, Eunotiaceae, F. capucina, F. intermedia, F. neointermedia, F. perminuta, Fragilaria, Fragilaria construens var. subsalina, Fragilariaceae, Fragilariales, Fragilariophyceae, G. tergestinum, Gambusia holbrooki, Geisleria, Geissleria, Gomphonema rosenstockianum, Gomphonema vidalii, Gomphonemataceae, Hannaea arcus var. linearis, Hippodonta, Hippodonta lange-bertalotii, Luticola, M. angloensis, M. braunii, M. cholnokyi, Mastogloia, Microcostatus schoemanii, Naviculaceae, Nitzschia, Nitzschia alicae, Nitzschiaceae, Planothidium, Psammothidium, Psammothidium abundans, Pseudostaurosira cataractarum, Sellaphora stroemii, Strigulaceae, Sublinearis"
Leocadio,Blanco-Bercial,0000-0003-0658-7183,,"C. carinatus, C. sinicus, Calanidae, Calanoida, Calanoides carinatus, Calanoides natalis, Calanus agulhensis, Centropages typicus, Clausocalanus, Copepoda, Corrigendum, Crustacea, Cyclopoida, Diacavolinia, Incognitum, Meganyctiphanes norvegica, Metazoa, Oithona, Paracalanidae, Pseudocalanus, Pseudocyclopidae"
Rebecca,Blanton,0000-0002-6440-7112,,"Actinopterygii, Catonotus, Catostomidae, Centrarchidae, Etheostoma brevispinum, Etheostoma luteovinctum, Etheostoma percnurum, Ictaluridae, Noturus exilis, Percidae, Perciformes"
Isabel,Blasco-Costa,0000-0002-5001-5986,,"Actinopterygii, Ancylostoma tubaeforme, Austrolittorina spp, Clarias gariepinus, Clariidae, Dactylogyridae, Dicrogaster, Digenea, Digenea: diplostomidae, Diplostomidae, Diplostomum, Diplostomum von, Echinostoma revolutum, Echinostomatidae, Forticulcita, Gastropoda, Haploporidae, Haploporinae, Haploporus, Hemiuridae, Hemiuroidea, Kudoa trifolia, Lecithobotrys, Ligophorus, Ligophorus chabaudi, Littorinidae, Liza aurata, Maritrema, Microphallidae, Monogenea, Mugil cephalus, Mugilidae, Platyhelminthes, Pseudoterranova decipiens, Robinia aurata, S. dimitrovi, Saccocoelium, Saturnius, Saturnius minutus, Siluriformes, Teleostei"
Radim,Blazek,0000-0003-1150-0273,,"Alestidae, Annulotrema, Characiformes, Cichlidae, Cyprinidae, Dactylogyridae, Gobio gobio, Gyrodactylidae, Gyrodactylus, Mollusca, Monogenea, Neogobius, Neogobius kessleri, Neogobius melanostomus, Nothobranchiidae, Nothobranchius annual, Nothobranchius furzeri, Quadriacanthus, Redbelly tilapia, Rhodeus amarus, Siluriformes, Teleostei, Trypanosoma mocambicum, Unionidae"
Jonathan,Bloch,0000-0003-1484-6931,United States of America,"(Omomyidae, Afrotheria, Anthracosuchus balrogus, Apatemyidae, Apatotheria, Artiodactyla, Batodonoides, Camelidae, Carpolestes simpsoni, Chelonia, Creodonta, Crocodylomorpha, Dyrosauridae, Euarchontoglires, Geolabididae, Ignacius, Ignacius graybullianus, Indusius, Kinosternoidea, Labidolemur kayi, Mammalia, Mesoeucrocodylia, Micromomyidae, Microsyopidae, Microsyops, Nyctitheriidae, Oxyaenidae, Palaeonictis, Paromomyidae, Pleurodira, Proteutheria, Purgatorius, Sulaimania, Sulaimanius, Teilhardina brandti, Testudines"
René,Bobe,0000-0001-9059-2203,,"Australopithecus, Bovidae, Carnivora, Enhydriodon, Giraffidae, Kantis, Mammalia, Nyctereutes lockwoodi, Paranthropus, Suidae, Vulpes mathisoni"
Simon,Bober,0000-0002-6269-1690,,"Crustacea, Isopoda, Janiroidea, Macrostylidae, Peracarida"
Milada,Bocakova,0000-0002-2507-0887,Czechia,"(GLADOPHORINI, Amydetinae, Artematopodidae, Brasilycus, Calochromus, Calopterini, Carabidae, Cartagonum, Ceratopriomorphus, Cladodes illigeri, Cleroidea, Coleoptera, Dexorinae, Dexoris, Ditoneces, Drilidae, Elateriformia, Elateroidea, Electribius, Eniclases, Erotini, Eurrhacus, Eurypogon, Falsocaenia, Hemiconderis, Hyperstoma, Insecta, Lamellipalpodes, Lampyridae, Libnetini, Libnetis, Linoptes, Lycidae, Lycomorphon, Lyropaeini, Lyropaeus coleoptera, Melaneros, Metriorrhynchinae, Neolyrium, Omalisidae, Ototretinae, Phengodidae, Platerodinae, Plateros, Polyphaga, Pyropterus, Scissicauda, Staphylinoidea"
Fernanda,Bocalini,0000-0002-1955-4885,,"Aves, Cardinalidae, Caryothraustes canadensis, Cyphorhinus arada, Forpus xanthopterygius, Passeriformes, Psittacidae, Revis茫o taxon么mica, Troglodytidae"
Andre,Bochkov,0000-0002-3894-6163,Russian Federation,"Acari, Acariformes, Agamidae, Analgoidea, Andreacarus, Arvicolinae, Astigmata, Atopomelidae, Atopomelus, Austromyobia, Aves, Castoridae, Chelacheles, Cheletophyes, Chelicerata, Cheyletidae, Cheyletoidea, Chirodiscidae, Chiroptera, Corythaixoides leucogaster, Cricetidae, Cricetulus barabensis, Dermationidae, Diatomyidae, Dipodoidea, Eleutherengona, Epidermoptidae, Erinaceidae, Eudusbabekia, Galagocheles, Galagonidae, Gastronyssidae, Graphiurobia, Graphiurobia roda, Harpirhynchidae, Harpirhynchinae, Harpirhynchus quasimodo, Harpyrhynchoides, Hemigalichus, Hylomys, Icteridae, Lagopus muta, Lemurnyssidae, Listrophoridae, Listrophoroides, Listropsoralges, Lobalgidae, Macropodidae, Mammalia, Marquesania, Maxomys, Microtimyobia, Mironovia lagopus, Molothrus ater, Muridae, Myobia, Myobiidae, Myocoptes, Myocoptidae, Neharpyrhynchus, Neochelacheles, Onychalginae, Passeriformes, Passeroptes, Phasianidae, Phyllostomidae, Picobia, Pitymys pinetorum, Pneumocoptidae, Prostigmata, Pseudotrapelus sinaitus, Psoroptidae, Psoroptidia, Pterygosoma (Pterygosoma), Pterygosomatidae, Radfordia, Radfordia cricetuliphila, Radfordia sigmomys, Rhinophylla pumilio, Rodentia, Sarcoptidae, Sarcoptiformes, Sarcoptoidea, Schizocarpus, Sciuridae, Sciurocheyla, Sigmodon alstoni, Sigmodontidae, Sigmodontinae, Sorex araneus, Squamata, Syringophilidae, Syringophiloidus, Trichoecius calomysci, Trombidiformes, Turdidae, Turdus leucomelas, Wallabia bicolor"
Rich,Boden,0000-0002-4496-152X,United Kingdom of Great Britain and Northern Ireland,"Acidithiobacillia, Acinetobacter, Annwoodia aquaesulis, Betaproteobacteria, Gammaproteobacteria, Gordonia, Halothiobacillus neapolitanus, Hydrogenophilales, Hydrogenovibrio, Hyphomicrobium sulfonivorans, Leifsonia, Methylococcus capsulatus, Methylomonas methanica, Methylophaga, Methylophaga lonarensis, Methylophaga spp, Methylophaga thiooxidans, Microbacterium, Nitrosomonadales, Proteobacteria, Rhodocyclales, Sagittula stellata, T. denitrificans, T. thioparus, Thermithiobacillus tepidarius, Thioalkalimicrobium, Thiobacillus, Thiobacillus aquaesulis, Thiobacillus thioparus, Thiomicrospira"
Walter,Boeger,0000-0002-6004-2822,,""
Teunis,Boekhout,0000-0002-0476-3609,,""
Ferdinando,Boero,0000-0002-6317-2710,,"Aglaophenia octodonta, Anthomedusae, Anthozoa, Bivalvia, Bougainvillia muscus, Bougainvillia nana, Bougainvilliidae, Bryozoa, Campanulariidae, Clupeidae, Clytia hummelincki, Clytia linearis, Cnidaria, Codonorchis octaedrus, Ctenophora, Cystoseira, Cystoseira amentacea, Epibiotic, Eudendriidae, Eudendrium glomeratum, Eudendrium moulouyensis, Eugymnanthea inquilina, Fucales, Gastroblasta, Gastroblasta raffaelei, Halcampoides purpurea var. mediterranea, Haleciidae, Halecium, Halocoryne, Hebella parasitica, Hydrichthys mirus, Hydroida, Hydroidomedusae, Hydrozoa, Laodicea indica, Laodicea undulata, Laodiceidae, Leptomedusae, Lithophaga lithophaga, Lytocarpia myriophyllum, Mnemiopsis leidyi, Mollusca, Obelia, Pandeidae, Paracentrotus lividus, Pelagia, Pelagia noctiluca, Perciformes, Phaeophyceae, Phyllorhiza punctata, Porifera, Posidonia oceanica, Sardinella aurita, Scaridae, Scyphozoa, Sparisoma cretense, Thaliacea, Tunicata, Turritopsis nutricula, Vibrio harveyi, Zanclea, Zancleidae, Zanclella, Zanclella bryozoophila, Zancleoidea"
Robert,Boessenecker,0000-0002-6117-128X,,""
Arthur,Bogan,0000-0003-4042-7706,United States of America,"Acari, Acroloxus coloradensis, Actinonaias pectorosa, Alasmidonta marginata, Alasmidonta robusta, Alasmidonta varicosa, Alasmidonta wrightiana, Amblema neislerii, Amblema plicata, Ambleminae, Amnicola cora, Anodonta, Anodonta impura, Anodontites elongatus, Anodontites tenebricosus, Aphaostracon asthenes, Aphaostracon monas, Athearnia anthonyi, Batissa similis, Bivalvia, Brachidontes arcuatulus, Campeloma, Campeloma decampi, Castalia, Chamberlainia hainesiana, Colligyrus depressus, Corbicula, Corbicula baudoni, Corbicula blandiana, Corbicula erosa, Corbicula leviuscula, Corbicula luteola, Corbicula moltkiana, Corbicula moreletiana, Corbicula possoensis, Corbicula siamensis, Corbiculidae, Cristaria herculea, Cristaria plicata, Cristaria tenuis, Cyclonaias tuberculata, Cyprogenia stegaria, Diaurora aurorea, Diplodon, Diplodon chilensis, Diplodon granosus, Disconaias salinasensis, Dromus dromas, Elimia acuta, Elimia alabamensis, Elimia annettae, Elimia aterina, Elimia boykiniana, Elimia brevis, Elimia capillaris, Elimia clausa, Elimia crenatella, Elimia gibbera, Elimia hartmaniana, Elimia hydei, Elimia impressa, Elimia interrupta, Elimia interveniens, Elimia lachryma, Elimia laeta, Elimia macglameriana, Elimia nassula, Elimia olivula, Elimia porrecta, Elimia pupaeformis, Elimia pybasi, Elimia pygmaea, Elimia strigosa, Elimia teres, Elimia vanuxemiana, Ellipsaria lineolata, Elliptio ahenea, Elliptio arca, Elliptio chipolaensis, Elliptio complanata, Elliptio congaraea, Elliptio dariensis, Elliptio fraterna, Elliptio lanceolata, Elliptio shepardiana, Elliptio steinstansana, Ensidens ingallsianus, Ensidens sagittarius, Epioblasma arcaeformis, Epioblasma biemarginata, Epioblasma brevidens, Epioblasma flexuosa, Epioblasma florentina ssp. curtisi, Epioblasma florentina ssp. florentina, Epioblasma florentina ssp. walkeri, Epioblasma haysiana, Epioblasma lenior, Epioblasma lewisii, Epioblasma metastriata, Epioblasma obliquata ssp. obliquata, Epioblasma obliquata ssp. perobliqua, Epioblasma penita, Epioblasma sampsonii, Epioblasma stewardsonii, Epioblasma torulosa ssp. gubernaculum, Epioblasma torulosa ssp. rangiana, Epioblasma torulosa ssp. torulosa, Epioblasma turgidula, Etheriidae, Etherioidea, Ferrissia parallela, Fusconaia askewi, Fusconaia escambia, Fusconaia infucata, Fusconaia masoni, Fusconaia mitchelli, Gastropoda, Gryphaeidae, Gyrotoma excisa, Gyrotoma lewisii, Gyrotoma pagoda, Gyrotoma pumila, Gyrotoma pyramidata, Gyrotoma walkeri, Harmandia munensis, Harmandia somboriensis, Hemistena lata, Hirudisomatidae, Hyotissa, Hyotissa mcgintyi, Hyriopsis, Hyriopsis bialata, Hyriopsis delaportei, Hyriopsis myersiana, Iridinidae, Lamellidens scutum, Lamproscapha ensiformis, Lamprotula salaputium, Lampsilis binominata, Lampsilis bracteata, Lampsilis cardium, Lampsilis cariosa, Lampsilis dolabraeformis, Lampsilis fullerkati, Lampsilis higginsii, Lampsilis ovata, Lampsilis perovalis, Lampsilis powellii, Lampsilis reeviana ssp. brevicula, Lampsilis reeviana ssp. reeviana, Lampsilis satura, Lampsilis straminea ssp. claibornensis, Lampsilis straminea ssp. straminea, Lampsilis streckeri, Lampsilis virescens, Lanceolaria grayana, Lasmigona complanata ssp. alabamensis, Lasmigona compressa, Lasmigona decorata, Leptodea leptodon, Leptoxis ampla, Leptoxis clipeata, Leptoxis compacta, Leptoxis foremanii, Leptoxis formosa, Leptoxis ligata, Leptoxis lirata, Leptoxis melanoides, Leptoxis minor, Leptoxis occultata, Leptoxis picta, Leptoxis praerosa, Leptoxis showalterii, Leptoxis taeniata, Leptoxis torrefacta, Leptoxis virgata, Leptoxis vittata, Lepyrium showalteri, Lexingtonia subplana, Ligumia nasuta, Limnoperna fortunei, Lioplax cyclostomaformis, Lithasia armigera, Lithasia curta, Lithasia duttoniana, Lithasia geniculata, Margaritifera laevis, Medionidus acutissimus, Medionidus conradicus, Medionidus mcglameriae, Medionidus simpsonianus, Mollusca, Neoplanorbis carinatus, Neoplanorbis smithi, Neoplanorbis umbilicatus, Neosolen aquaedulcioris, Neotrigonia, Nodularia dorri, Obovaria retusa, Obovaria rotulata, Obovaria subrotunda, Obovaria unicolor, Octoglena, Parreysia cylindrica, Parreysia humilis, Phreatodrobia coronae, Phreatodrobia rotunda, Physella microstriata, Physella spelunca, Physella utahensis, Physella zionis, Physunio cambodiensis, Physunio superbus, Pisidium, Pisidium parvum, Pisidium stewarti, Pisidium ultramontanum, Pisidium walkeri, Planorbella campanulata, Planorbella magnifica, Planorbella multivolvis, Plethobasus cooperianus, Plethobasus cyphyus, Pleurobema altum, Pleurobema avellanum, Pleurobema bournianum, Pleurobema chattanoogaense, Pleurobema collina, Pleurobema decisum, Pleurobema flavidulum, Pleurobema hagleri, Pleurobema johannis, Pleurobema murrayense, Pleurobema nucleopsis, Pleurobema perovatum, Pleurobema riddellii, Pleurobema rubellum, Pleurobema strodeanum, Pleurobema troschelianum, Pleurobema verum, Pleurocera alveare, Pleurocera annulifera, Pleurocera brumbyi, Pleurocera curta, Pleurocera showalteri, Pleurocera walkeri, Pleuronaia dolabelloides, Polyzoniida, Popenaias popeii, Potamilus alatus, Potamilus amphichaenus, Potamilus inflatus, Prisodon obliquus, Pseudodon, Pseudodon mouhotii, Pseudodon resupinatus, Pseudomulleria dalyi, Pseudosuccinea columella, Ptychobranchus jonesi, Ptychobranchus subtentum, Pyganodon lacustris, Pyrgulopsis giuliani, Quadrula cylindrica, Quadrula cylindrica ssp. cylindrica, Quadrula cylindrica ssp. strigillata, Quadrula fragosa, Quadrula quadrula, Radiatula pilata, Rectidens sumatrensis, Rhipidodonta hylaea, Rhodacmea elatior, Scabies chinensis, Simpsonaias ambigua, Sinanodonta ogurae, Sinanodonta woodiana, Solenaia emarginata, Solenaia khwaenoiensis, Sphaerium biwaense, Taylorconcha serpenticola, Theliderma intermedia, Trapezoideus misellus, Trigoniidae, Trigonioida, Tryonia angulata, Tryonia cheatumi, Tryonia clathrata, Tryonia elata, Tryonia gilae, Tryonia imitator, Tryonia kosteri, Tryonia quitobaquitae, Tryonia variegata, Tulotoma magnifica, U. (Wolcottatax), U. (Wolcottatax) arcuatoides, Uniandra contradens, Uniandra gratiosus, Uniandra semmelinki, Uniandra subcircularis, Unio douglasiae, Unionetta fabagina, Unionicola, Unionicola (Wolcottatax), Unionicola (Wolcottatax) weni, Unionicolidae, Unionida, Unionidae, Unionoida, Unionoidea, Valvata virens, Villosa constricta, Villosa perpurpurea, Villosa trabalis"
Diego,Bogarín,0000-0002-8408-8841,Costa Rica,"Acianthera, Angraecinae, Campylocentrum, Ceratopogonidae, Condylago, Diptera, Elleanthus ligularis, Encyclia, Epidendrum cocoense, Epidendrum insulanum, L. vertebrata, Laeliinae, Lepanthes, Lepanthes guatemalensis, Lepanthes ovalis, Lycaste, Masdevallia luerorum, Maxillaria ramosa, Maxillariinae, O. elianae, Oncidiinae, Orchidaceae, Ornithidium pendulum, Platystele, Pleurothallidinae, Polystachya, Prosthechea, Prosthechea prismatocarpa, Specklinia, Telipogon, Trichosalpinx, Vandeae"
Mário,Boieiro,0000-0002-9087-091X,Portugal,"Apteromantis aptera, Arachnida, Araneae, Arthropoda, Asianidia, Buprestidae, Calliphora loewi, Calliphoridae, Carabidae, Caraboidea, Cicadellidae, Coleoptera, Colydiidae, Cyanopica cyanus cooki, Dacetonini, Diptera, Domene, Drosophila, Drosophila madeirensis, Drosophilidae, Elateridae, Epitritus argiolus, Euphorbia, Euphorbia pedroi, Euphorbiaceae, Formicidae, Geotrupidae, Hemiptera, Hymenoptera, Insecta, Mantodea, Melandryidae, Mycetophagidae, Orthomus, Orthomus annae, Orthomus susanae, Paederinae, Passer hispaniolensis, Phthiraptera, Ptiliidae, Smicrus filicornis, Staphylinidae, Stenamma westwoodii, Typhoeus"
Dani,Boix,0000-0001-5468-2236,,"Anostraca, Aphanius iberus, Branchiopoda, Calanipeda aquaedulcis, Calanoida, Catalunya, Chaoboridae, Chaoborus, Corophium orientale, Crustacea, Daphnia magna, Diptera, Discoglossus, Hyla meridionalis, Linderiella baetica, Linderiella jebalae, Notostraca, Odessia maeotica, Triops cancriformis"
Jamie,Bojko,0000-0001-5972-0844,United Kingdom of Great Britain and Northern Ireland,"Carcinus maenas, Carcinus maenas) symbiont, Cucumispora ornata, Dikerogammarus haemobaphes, Enterocytozoon, Gammarus roeselii, L. arcana, Littorina saxatilis, Microsporidia, Parahepatospora carcini"
Bazartseren,Boldgiv,0000-0003-0015-8142,,"Cerambycidae, Coleoptera, Eodorcadion, Ephemeroptera, Hantavirus, Heterocera, Lepidoptera, Microtus middendorffii, Panthera uncia, Plecoptera, Trichoptera"
Arnau,Bolet,0000-0003-4416-4560,,"Ammonoidea, Cadurcogekko rugosus, Catalana, Colobodus giganteus, Goniatitida, Lepidosauria, Lusitanoceras, Reptilia, Scandensia, Squamata, Varanus"
Ivan,Bolotov,0000-0002-3878-4192,Russian Federation,"Acanthacorydalis asiatica, Apidae, Arctiinae, Australapatemon burti, Bivalvia, Bombini, Bombus, Bombus spp, Borearctia menetriesii, Corydalidae, Corydalinae, Digenea, Diurna, Erebidae, Gastropoda, Geometridae, Geometrinae, Hesperioidea, Hymenoptera, Insecta, Ladislavella tumrokensis, Larentiinae, Lepidoptera, Lepidoptera rhopalocera, Leptocneria vinarskii, Linnaeus, Lymantriinae, Lymnaeidae, M. borealis, M. elongata, M. margaritifera, Margaritifera, Margaritifera homsensis, Margaritifera laosensis, Margaritifera margaritifera, Margaritifera spp, Margaritiferidae, Megaloptera, Mollusca, N. (lepidoptera, N. carissima, Nyctemera adversata, Orontes, Papilionidae, Papilionoidea, Pararctia subnebulosa, Parnassius mnemosyne, Pisidium casertanum, Pisidium nevillianum, Radix balthica, Radix dolgini, Radix labiata, Radix spp, Ranunculaceae, Rhopalocera, Salmo salar, Salmoniformes, Sinanodonta woodiana, Sphaeriidae, Sphaerium, Strigeidae, Thalassodes antithetica, Thymallidae, Thymallus thymallus, Trematoda, Trichopterygini, Unionidae, Unionoida, Wallacea"
Samuel,Bolton,0000-0002-5807-8519,,"Acari, Acariformes, Arachnida, Chilopoda, Endeostigmata, Eriophyoidea, Nematalycidae, Scutigeromorpha"
Alejandro,Bolzan,0000-0002-3627-1182,Argentina,"(Geochelone) donosobarrosi, Alouattapigra, Chelonoidis (Geochelone) donosobarrosi, Chelonoidis chilensis, Cricetidae, Ctenomys magellanicus (rodentia, Dasypodidae, Emydidae, Octodontidae, Platyrrhini, Sigmodontinae, Testudines, Testudinidae, Xenarthra"
